,p,grad_fV,Ly,A,A_imp,time_p1,time_p2,time_p3
"Ks-3.0,p-15/grad_fV-0.1,nrow-20/",15,0.1,20.0,1000.0,649.0,299,298,297
"Ks-3.0,p-15/grad_fV-0.1,nrow-30/",15,0.1,30.0,1500.0,992.9999999999999,352,352,351
"Ks-3.0,p-15/grad_fV-0.1,nrow-40/",15,0.1,40.0,2000.0,1298.0,420,419,418
"Ks-3.0,p-15/grad_fV-0.1,nrow-50/",15,0.1,50.0,2500.0,1578.0,483,483,482
"Ks-3.0,p-15/grad_fV-0.1,nrow-60/",15,0.1,60.0,3000.0,1851.0,549,547,546
"Ks-3.0,p-15/grad_fV-0.1,nrow-70/",15,0.1,70.0,3500.0,2024.0,636,632,629
"Ks-3.0,p-15/grad_fV-0.1,nrow-80/",15,0.1,80.0,4000.0,2203.9999999999995,697,694,691
"Ks-3.0,p-15/grad_fV-0.1,nrow-90/",15,0.1,90.0,4500.0,2394.9999999999995,755,752,749
"Ks-3.0,p-15/grad_fV-0.3,nrow-10/",15,0.3,10.0,500.0,481.0,201,201,201
"Ks-3.0,p-15/grad_fV-0.3,nrow-100/",15,0.3,100.0,5000.0,2527.0000000000005,948,933,924
"Ks-3.0,p-15/grad_fV-0.3,nrow-20/",15,0.3,20.0,1000.0,962.0,254,253,253
"Ks-3.0,p-15/grad_fV-0.3,nrow-30/",15,0.3,30.0,1500.0,1394.0,304,304,303
"Ks-3.0,p-15/grad_fV-0.3,nrow-40/",15,0.3,40.0,2000.0,1750.0,366,365,365
"Ks-3.0,p-15/grad_fV-0.3,nrow-50/",15,0.3,50.0,2500.0,2050.0,436,436,435
"Ks-3.0,p-15/grad_fV-0.3,nrow-60/",15,0.3,60.0,3000.0,2305.0,509,507,506
"Ks-3.0,p-15/grad_fV-0.3,nrow-70/",15,0.3,70.0,3500.0,2404.0,639,633,629
"Ks-3.0,p-15/grad_fV-0.3,nrow-80/",15,0.3,80.0,4000.0,2479.0,721,716,712
"Ks-3.0,p-15/grad_fV-0.3,nrow-90/",15,0.3,90.0,4500.0,2523.0,831,822,815
"Ks-3.0,p-17/grad_fV-0.1,nrow-10/",17,0.1,10.0,500.0,326.0,222,221,220
"Ks-3.0,p-17/grad_fV-0.1,nrow-100/",17,0.1,100.0,5000.0,2522.9999999999995,795,790,786
"Ks-3.0,p-17/grad_fV-0.1,nrow-20/",17,0.1,20.0,1000.0,649.0,287,287,286
"Ks-3.0,p-17/grad_fV-0.1,nrow-30/",17,0.1,30.0,1500.0,992.9999999999999,339,339,338
"Ks-3.0,p-17/grad_fV-0.1,nrow-40/",17,0.1,40.0,2000.0,1298.0,400,399,399
"Ks-3.0,p-17/grad_fV-0.1,nrow-50/",17,0.1,50.0,2500.0,1578.0,462,461,460
"Ks-3.0,p-17/grad_fV-0.1,nrow-60/",17,0.1,60.0,3000.0,1851.0,522,521,519
"Ks-3.0,p-17/grad_fV-0.1,nrow-70/",17,0.1,70.0,3500.0,2024.0,603,601,599
"Ks-3.0,p-17/grad_fV-0.1,nrow-80/",17,0.1,80.0,4000.0,2203.9999999999995,663,660,658
"Ks-3.0,p-17/grad_fV-0.1,nrow-90/",17,0.1,90.0,4500.0,2394.9999999999995,719,716,714
"Ks-3.0,p-17/grad_fV-0.3,nrow-10/",17,0.3,10.0,500.0,481.0,201,201,201
"Ks-3.0,p-17/grad_fV-0.3,nrow-100/",17,0.3,100.0,5000.0,2527.0000000000005,899,887,879
"Ks-3.0,p-17/grad_fV-0.3,nrow-20/",17,0.3,20.0,1000.0,962.0,246,246,245
"Ks-3.0,p-17/grad_fV-0.3,nrow-30/",17,0.3,30.0,1500.0,1394.0,293,293,293
"Ks-3.0,p-17/grad_fV-0.3,nrow-40/",17,0.3,40.0,2000.0,1750.0,351,350,350
"Ks-3.0,p-17/grad_fV-0.3,nrow-50/",17,0.3,50.0,2500.0,2050.0,417,416,416
"Ks-3.0,p-17/grad_fV-0.3,nrow-60/",17,0.3,60.0,3000.0,2305.0,483,482,481
"Ks-3.0,p-17/grad_fV-0.3,nrow-70/",17,0.3,70.0,3500.0,2404.0,603,600,597
"Ks-3.0,p-17/grad_fV-0.3,nrow-80/",17,0.3,80.0,4000.0,2479.0,682,679,676
"Ks-3.0,p-17/grad_fV-0.3,nrow-90/",17,0.3,90.0,4500.0,2523.0,787,780,775
"Ks-3.0,p-19/grad_fV-0.1,nrow-10/",19,0.1,10.0,500.0,326.0,215,214,214
"Ks-3.0,p-19/grad_fV-0.1,nrow-100/",19,0.1,100.0,5000.0,2522.9999999999995,761,757,754
"Ks-3.0,p-19/grad_fV-0.1,nrow-20/",19,0.1,20.0,1000.0,649.0,278,278,277
"Ks-3.0,p-19/grad_fV-0.1,nrow-30/",19,0.1,30.0,1500.0,992.9999999999999,328,328,327
"Ks-3.0,p-19/grad_fV-0.1,nrow-40/",19,0.1,40.0,2000.0,1298.0,384,384,383
"Ks-3.0,p-19/grad_fV-0.1,nrow-50/",19,0.1,50.0,2500.0,1578.0,444,443,443
"Ks-3.0,p-19/grad_fV-0.1,nrow-60/",19,0.1,60.0,3000.0,1851.0,500,499,498
"Ks-3.0,p-19/grad_fV-0.1,nrow-70/",19,0.1,70.0,3500.0,2024.0,577,575,574
"Ks-3.0,p-19/grad_fV-0.1,nrow-80/",19,0.1,80.0,4000.0,2203.9999999999995,635,633,631
"Ks-3.0,p-19/grad_fV-0.1,nrow-90/",19,0.1,90.0,4500.0,2394.9999999999995,688,686,685
"Ks-3.0,p-19/grad_fV-0.3,nrow-10/",19,0.3,10.0,500.0,481.0,201,201,201
"Ks-3.0,p-19/grad_fV-0.3,nrow-100/",19,0.3,100.0,5000.0,2527.0000000000005,859,849,842
"Ks-3.0,p-19/grad_fV-0.3,nrow-20/",19,0.3,20.0,1000.0,962.0,239,239,239
"Ks-3.0,p-19/grad_fV-0.3,nrow-30/",19,0.3,30.0,1500.0,1394.0,284,284,284
"Ks-3.0,p-19/grad_fV-0.3,nrow-40/",19,0.3,40.0,2000.0,1750.0,338,338,337
"Ks-3.0,p-19/grad_fV-0.3,nrow-50/",19,0.3,50.0,2500.0,2050.0,401,401,400
"Ks-3.0,p-19/grad_fV-0.3,nrow-60/",19,0.3,60.0,3000.0,2305.0,463,462,461
"Ks-3.0,p-19/grad_fV-0.3,nrow-70/",19,0.3,70.0,3500.0,2404.0,574,572,570
"Ks-3.0,p-19/grad_fV-0.3,nrow-80/",19,0.3,80.0,4000.0,2479.0,651,649,646
"Ks-3.0,p-19/grad_fV-0.3,nrow-90/",19,0.3,90.0,4500.0,2523.0,750,745,741
"Ks-3.0,p-3/grad_fV-0.1,nrow-10/",3,0.1,10.0,500.0,326.0,514,442,393
"Ks-3.0,p-3/grad_fV-0.1,nrow-100/",3,0.1,100.0,5000.0,2522.9999999999995,1983,1900,1857
"Ks-3.0,p-3/grad_fV-0.1,nrow-20/",3,0.1,20.0,1000.0,649.0,646,601,574
"Ks-3.0,p-3/grad_fV-0.1,nrow-30/",3,0.1,30.0,1500.0,992.9999999999999,709,670,654
"Ks-3.0,p-3/grad_fV-0.1,nrow-40/",3,0.1,40.0,2000.0,1298.0,995,873,823
"Ks-3.0,p-3/grad_fV-0.1,nrow-50/",3,0.1,50.0,2500.0,1578.0,1091,1046,1020
"Ks-3.0,p-3/grad_fV-0.1,nrow-60/",3,0.1,60.0,3000.0,1851.0,1336,1117,1079
"Ks-3.0,p-3/grad_fV-0.1,nrow-70/",3,0.1,70.0,3500.0,2024.0,1458,1398,1356
"Ks-3.0,p-3/grad_fV-0.1,nrow-80/",3,0.1,80.0,4000.0,2203.9999999999995,1701,1632,1586
"Ks-3.0,p-3/grad_fV-0.1,nrow-90/",3,0.1,90.0,4500.0,2394.9999999999995,1809,1730,1689
"Ks-3.0,p-3/grad_fV-0.3,nrow-10/",3,0.3,10.0,500.0,481.0,308,299,294
"Ks-3.0,p-3/grad_fV-0.3,nrow-100/",3,0.3,100.0,5000.0,2527.0000000000005,2175,1953,1415
"Ks-3.0,p-3/grad_fV-0.3,nrow-20/",3,0.3,20.0,1000.0,962.0,415,411,407
"Ks-3.0,p-3/grad_fV-0.3,nrow-30/",3,0.3,30.0,1500.0,1394.0,521,512,507
"Ks-3.0,p-3/grad_fV-0.3,nrow-40/",3,0.3,40.0,2000.0,1750.0,830,737,701
"Ks-3.0,p-3/grad_fV-0.3,nrow-50/",3,0.3,50.0,2500.0,2050.0,951,917,896
"Ks-3.0,p-3/grad_fV-0.3,nrow-60/",3,0.3,60.0,3000.0,2305.0,1163,1022,981
"Ks-3.0,p-3/grad_fV-0.3,nrow-70/",3,0.3,70.0,3500.0,2404.0,1443,1303,1169
"Ks-3.0,p-3/grad_fV-0.3,nrow-80/",3,0.3,80.0,4000.0,2479.0,1974,1783,1407
"Ks-3.0,p-3/grad_fV-0.3,nrow-90/",3,0.3,90.0,4500.0,2523.0,2173,1954,1414
"Ks-3.0,p-5/grad_fV-0.1,nrow-10/",5,0.1,10.0,500.0,326.0,393,372,358
"Ks-3.0,p-5/grad_fV-0.1,nrow-100/",5,0.1,100.0,5000.0,2522.9999999999995,1421,1378,1351
"Ks-3.0,p-5/grad_fV-0.1,nrow-20/",5,0.1,20.0,1000.0,649.0,480,465,456
"Ks-3.0,p-5/grad_fV-0.1,nrow-30/",5,0.1,30.0,1500.0,992.9999999999999,533,527,523
"Ks-3.0,p-5/grad_fV-0.1,nrow-40/",5,0.1,40.0,2000.0,1298.0,767,733,710
"Ks-3.0,p-5/grad_fV-0.1,nrow-50/",5,0.1,50.0,2500.0,1578.0,814,789,774
"Ks-3.0,p-5/grad_fV-0.1,nrow-60/",5,0.1,60.0,3000.0,1851.0,964,931,908
"Ks-3.0,p-5/grad_fV-0.1,nrow-70/",5,0.1,70.0,3500.0,2024.0,1089,1047,1023
"Ks-3.0,p-5/grad_fV-0.1,nrow-80/",5,0.1,80.0,4000.0,2203.9999999999995,1182,1152,1134
"Ks-3.0,p-5/grad_fV-0.1,nrow-90/",5,0.1,90.0,4500.0,2394.9999999999995,1280,1247,1228
"Ks-3.0,p-5/grad_fV-0.3,nrow-10/",5,0.3,10.0,500.0,481.0,259,257,255
"Ks-3.0,p-5/grad_fV-0.3,nrow-100/",5,0.3,100.0,5000.0,2527.0000000000005,1670,1622,1593
"Ks-3.0,p-5/grad_fV-0.3,nrow-20/",5,0.3,20.0,1000.0,962.0,347,346,345
"Ks-3.0,p-5/grad_fV-0.3,nrow-30/",5,0.3,30.0,1500.0,1394.0,430,428,426
"Ks-3.0,p-5/grad_fV-0.3,nrow-40/",5,0.3,40.0,2000.0,1750.0,665,633,611
"Ks-3.0,p-5/grad_fV-0.3,nrow-50/",5,0.3,50.0,2500.0,2050.0,723,705,694
"Ks-3.0,p-5/grad_fV-0.3,nrow-60/",5,0.3,60.0,3000.0,2305.0,911,878,855
"Ks-3.0,p-5/grad_fV-0.3,nrow-70/",5,0.3,70.0,3500.0,2404.0,1119,1073,1044
"Ks-3.0,p-5/grad_fV-0.3,nrow-80/",5,0.3,80.0,4000.0,2479.0,1276,1235,1210
"Ks-3.0,p-5/grad_fV-0.3,nrow-90/",5,0.3,90.0,4500.0,2523.0,1466,1421,1393
"Ks-3.0,p-7/grad_fV-0.1,nrow-10/",7,0.1,10.0,500.0,326.0,325,315,307
"Ks-3.0,p-7/grad_fV-0.1,nrow-100/",7,0.1,100.0,5000.0,2522.9999999999995,1187,1158,1141
"Ks-3.0,p-7/grad_fV-0.1,nrow-20/",7,0.1,20.0,1000.0,649.0,399,395,391
"Ks-3.0,p-7/grad_fV-0.1,nrow-30/",7,0.1,30.0,1500.0,992.9999999999999,460,458,456
"Ks-3.0,p-7/grad_fV-0.1,nrow-40/",7,0.1,40.0,2000.0,1298.0,642,621,607
"Ks-3.0,p-7/grad_fV-0.1,nrow-50/",7,0.1,50.0,2500.0,1578.0,679,668,660
"Ks-3.0,p-7/grad_fV-0.1,nrow-60/",7,0.1,60.0,3000.0,1851.0,804,783,768
"Ks-3.0,p-7/grad_fV-0.1,nrow-70/",7,0.1,70.0,3500.0,2024.0,913,887,872
"Ks-3.0,p-7/grad_fV-0.1,nrow-80/",7,0.1,80.0,4000.0,2203.9999999999995,986,969,957
"Ks-3.0,p-7/grad_fV-0.1,nrow-90/",7,0.1,90.0,4500.0,2394.9999999999995,1069,1049,1036
"Ks-3.0,p-7/grad_fV-0.3,nrow-10/",7,0.3,10.0,500.0,481.0,236,235,233
"Ks-3.0,p-7/grad_fV-0.3,nrow-100/",7,0.3,100.0,5000.0,2527.0000000000005,1355,1321,1300
"Ks-3.0,p-7/grad_fV-0.3,nrow-20/",7,0.3,20.0,1000.0,962.0,313,312,311
"Ks-3.0,p-7/grad_fV-0.3,nrow-30/",7,0.3,30.0,1500.0,1394.0,384,383,382
"Ks-3.0,p-7/grad_fV-0.3,nrow-40/",7,0.3,40.0,2000.0,1750.0,551,533,521
"Ks-3.0,p-7/grad_fV-0.3,nrow-50/",7,0.3,50.0,2500.0,2050.0,607,600,595
"Ks-3.0,p-7/grad_fV-0.3,nrow-60/",7,0.3,60.0,3000.0,2305.0,758,737,723
"Ks-3.0,p-7/grad_fV-0.3,nrow-70/",7,0.3,70.0,3500.0,2404.0,931,903,885
"Ks-3.0,p-7/grad_fV-0.3,nrow-80/",7,0.3,80.0,4000.0,2479.0,1050,1023,1007
"Ks-3.0,p-7/grad_fV-0.3,nrow-90/",7,0.3,90.0,4500.0,2523.0,1199,1168,1149
"Ks-3.0,p-9/grad_fV-0.1,nrow-10/",9,0.1,10.0,500.0,326.0,281,277,273
"Ks-3.0,p-9/grad_fV-0.1,nrow-100/",9,0.1,100.0,5000.0,2522.9999999999995,1052,1032,1019
"Ks-3.0,p-9/grad_fV-0.1,nrow-20/",9,0.1,20.0,1000.0,649.0,358,356,354
"Ks-3.0,p-9/grad_fV-0.1,nrow-30/",9,0.1,30.0,1500.0,992.9999999999999,418,417,416
"Ks-3.0,p-9/grad_fV-0.1,nrow-40/",9,0.1,40.0,2000.0,1298.0,560,546,536
"Ks-3.0,p-9/grad_fV-0.1,nrow-50/",9,0.1,50.0,2500.0,1578.0,599,594,590
"Ks-3.0,p-9/grad_fV-0.1,nrow-60/",9,0.1,60.0,3000.0,1851.0,705,692,683
"Ks-3.0,p-9/grad_fV-0.1,nrow-70/",9,0.1,70.0,3500.0,2024.0,805,790,780
"Ks-3.0,p-9/grad_fV-0.1,nrow-80/",9,0.1,80.0,4000.0,2203.9999999999995,873,862,854
"Ks-3.0,p-9/grad_fV-0.1,nrow-90/",9,0.1,90.0,4500.0,2394.9999999999995,946,933,925
"Ks-3.0,p-9/grad_fV-0.3,nrow-10/",9,0.3,10.0,500.0,481.0,221,220,220
"Ks-3.0,p-9/grad_fV-0.3,nrow-100/",9,0.3,100.0,5000.0,2527.0000000000005,1192,1165,1149
"Ks-3.0,p-9/grad_fV-0.3,nrow-20/",9,0.3,20.0,1000.0,962.0,291,290,290
"Ks-3.0,p-9/grad_fV-0.3,nrow-30/",9,0.3,30.0,1500.0,1394.0,354,354,353
"Ks-3.0,p-9/grad_fV-0.3,nrow-40/",9,0.3,40.0,2000.0,1750.0,465,457,451
"Ks-3.0,p-9/grad_fV-0.3,nrow-50/",9,0.3,50.0,2500.0,2050.0,538,535,533
"Ks-3.0,p-9/grad_fV-0.3,nrow-60/",9,0.3,60.0,3000.0,2305.0,659,647,639
"Ks-3.0,p-9/grad_fV-0.3,nrow-70/",9,0.3,70.0,3500.0,2404.0,819,800,788
"Ks-3.0,p-9/grad_fV-0.3,nrow-80/",9,0.3,80.0,4000.0,2479.0,922,904,892
"Ks-3.0,p-9/grad_fV-0.3,nrow-90/",9,0.3,90.0,4500.0,2523.0,1055,1032,1018
